Country_sample,city,D3_Cityrecode,walk_time,bike_time,car_time,line_distance,PT_fastest_arr,PT_shortest_time,walk_distances
Austria,AT001C1,Wien,3.6249338025604145,10.061276578896308,26.11881564511352,9.130614711096516,2.1736405160429277,3.6249338025604145,11230.100541353384
Belgium,BE001C1,Bruxelles / Brussel,3.3773552888716427,8.306606435429856,15.874619890995637,1.6995827735416797,0.6581294307303506,3.3773552888716427,2235.2862362362366
Belgium,BE002C1,Antwerpen,3.438648091036965,10.528180106755917,30.284676379234014,8.22812268731169,1.911409034864516,3.438648091036965,11076.80224025974
Belgium,BE005C1,Liège,3.64207467371965,12.159893147598996,25.98739366762804,3.521212936351262,1.2654601212215144,3.64207467371965,4502.677357357357
Switzerland,CH001K1,Zürich,3.38578138140813,9.941858853094482,21.75661119185204,2.68375108500014,0.9198967747498732,3.38578138140813,3655.7923380566804
Switzerland,CH002K1,Genève,3.119431819284468,8.409454270096234,16.770886006758698,1.6941021632965403,0.6460507218500792,3.119431819284468,2329.21001002004
Cyprus,CY001C1,Lefkosia,2.7466595031628858,8.869688789848464,16.5043288967304,4.633827581613427,1.1142533164080914,2.7466595031628858,9345.508711721224
Czech Republic,CZ001C1,Praha,3.6265914746994192,10.603997201312584,30.386315036682426,9.429396957009486,2.5262161785840465,3.6265914746994192,11637.481720430107
Germany,DE001C1,Berlin,3.746898726091534,10.275492761076181,27.39675907468267,10.141254778978901,2.075319635996681,3.746898726091534,12096.00776203966
Germany,DE002C1,Hamburg,3.6318325173679016,10.486655683530676,28.43492541409227,10.107028482895226,2.0549924731259375,3.6318325173679016,12535.187538461538
Germany,DE003C1,München,3.749908635702839,10.391870569124295,29.448152233016803,9.018244566981549,1.9631479888590009,3.749908635702839,10604.701258106355
Germany,DE006C1,Essen,3.6023533909604866,10.165182051537336,27.819799996889493,8.213584640722724,1.8309643780474696,3.6023533909604866,10093.10465116279
Germany,DE008C1,Leipzig,3.7049031407903,10.80425959756247,28.246957868167698,9.067163495175832,1.9569761158526982,3.7049031407903,10958.572843137254
Germany,DE010C1,Dortmund,3.673331678860219,10.50536871143875,29.424314517426314,8.807601515756671,1.9147060002208958,3.673331678860219,10632.225916167665
Germany,DE043C1,Rostock,3.4758197448439963,10.568672628776651,25.081369994803552,7.8790918327059805,1.7439874625236609,3.4758197448439963,10513.604233333333
