walk_time,bike_time,car_time,line_distance
1243,879.0,354.0,1.1629792738888156
1115,577.0,373.0,1.107475919859121
1255,609.0,355.0,1.1665249540124274
46,49.0,44.0,0.01225100390531515
639,451.0,251.0,0.4918260574227822
933,463.0,316.0,0.7868122696821679
1367,664.0,559.0,1.1316969302712188
389,206.0,91.0,0.3400219511654933
1527,874.0,500.0,1.4923188635840738
1060,655.0,453.0,0.9188974592966038
1952,1063.0,545.0,1.779717670848393
2147,1296.0,456.0,2.0117505481018076
234,143.0,192.0,0.14821523524349192
1141,764.0,405.0,1.133012621222128
209,97.0,92.0,0.20124687289787407
1805,1020.0,426.0,1.6516576860926357
1711,825.0,478.0,1.6875371295036241
1128,745.0,319.0,0.7970303212507511
876,522.0,299.0,0.840477947487867
966,865.0,418.0,0.7552791842988295
239,94.0,126.0,0.27389368082627813
1248,603.0,506.0,1.0179391860010893
558,303.0,,0.47446350241508667
2051,1203.0,522.0,2.035005478418942
1531,610.0,386.0,1.5747143255856428
953,441.0,290.0,0.8221751402929192
1541,834.0,447.0,1.4783072052143282
1861,888.0,424.0,1.724999303192209
1948,870.0,485.0,1.9345610809806721
1831,966.0,397.0,1.8927295709976126
1549,825.0,328.0,1.273356515393296
1377,870.0,453.0,1.3114087075658885
1011,657.0,315.0,0.6552928362590944
1848,855.0,436.0,1.887420077989026
2602,1437.0,577.0,2.169782377744155
1659,728.0,567.0,1.4308140960575872
929,443.0,231.0,0.6191200183992356
2619,1311.0,705.0,2.612046315263319
1305,718.0,443.0,1.1955679015709975
864,467.0,,0.7804894308702974
564,273.0,166.0,0.4545873200410712
760,486.0,401.0,0.619082463960263
2008,980.0,539.0,1.7998704248880661
1516,600.0,341.0,1.32936483545961
2808,1233.0,684.0,2.456280288634938
1588,619.0,680.0,1.2277095136327354
702,339.0,355.0,0.6421998781887154
1354,846.0,310.0,1.378326100382949
895,384.0,377.0,0.6412859705866008
473,271.0,207.0,0.35468746297668996
1009,692.0,308.0,0.725646309259566
158,61.0,36.0,0.11967954087991645
798,360.0,,0.6053380486928363
890,352.0,372.0,0.6851535032652425
1548,771.0,391.0,1.4608561601911667
1108,588.0,441.0,1.023281346615149
1892,942.0,508.0,1.8647162871918046
1810,817.0,406.0,1.658685516746106
1144,505.0,447.0,1.120770297027085
1485,749.0,408.0,1.2732557127120185
1792,780.0,400.0,1.8206834962814769
1726,961.0,382.0,1.7838891852781873
1421,784.0,300.0,1.426691432763648
2168,1155.0,699.0,1.9891331015685785
872,460.0,309.0,0.6582165719153074
653,304.0,198.0,0.6077428501942029
1709,858.0,488.0,1.6735277520162741
2164,1006.0,522.0,2.2323818046705437
2095,1115.0,589.0,2.0306938068704916
984,503.0,270.0,0.9121651875300758
2144,1095.0,483.0,1.9575379045534573
1982,1054.0,459.0,1.834855569784555
1562,970.0,464.0,0.9753442459397454
946,418.0,249.0,0.9375583466708796
2069,816.0,494.0,2.0806192287021417
927,480.0,225.0,0.7668135874113562
1017,580.0,273.0,0.877532460288721
478,248.0,114.0,0.4265869660933832
1415,659.0,534.0,1.2523873638727179
842,397.0,275.0,0.7552944700760763
788,393.0,335.0,0.698073677477184
1826,1021.0,728.0,1.8379488239748507
1462,794.0,381.0,1.2389886429576216
2244,1427.0,557.0,2.053112681308468
1254,812.0,307.0,1.243952032836174
914,633.0,217.0,0.630364459563516
1821,966.0,422.0,1.7380898255899135
591,312.0,186.0,0.4676437741178065
431,273.0,257.0,0.40796447581029166
1211,683.0,,0.952365842605957
617,355.0,453.0,0.5350221291042913
406,,,0.19720871860746098
786,420.0,219.0,0.7192523474096102
1642,845.0,433.0,1.428792955277849
2563,1279.0,677.0,2.3948150674483304
1516,978.0,252.0,0.6316458068696859
1363,643.0,393.0,1.213029725798979
1923,949.0,655.0,1.738478204746583
600,300.0,172.0,0.4722692314226717
2341,1154.0,821.0,2.3303157849368623
1100,547.0,253.0,0.7846602396654162
737,323.0,239.0,0.6868353877344088
601,256.0,216.0,0.5165036070710676
1393,664.0,410.0,1.186007835692211
1610,769.0,546.0,1.3260721541297855
1887,943.0,563.0,1.7586656388815054
1535,772.0,501.0,1.3490871740350046
566,342.0,237.0,0.5106250106704296
2337,1301.0,810.0,2.1962540471677676
1989,951.0,473.0,1.9252616488211394
710,443.0,277.0,0.6143141266577526
1047,482.0,251.0,0.9323540506703905
622,473.0,126.0,0.37609165690134405
1480,819.0,341.0,1.3849853679659636
1483,746.0,499.0,1.343948743596928
1370,689.0,483.0,1.2436690116497766
2127,1104.0,584.0,2.166142714754361
1891,1038.0,568.0,1.7308298762372187
534,245.0,181.0,0.49434068840813566
1153,546.0,429.0,1.0614156059709046
848,447.0,231.0,0.7252259999931442
533,326.0,178.0,0.4101663345314265
1107,594.0,383.0,0.9021903399572696
1945,1052.0,561.0,1.7856346939736265
1396,643.0,437.0,1.3167053318973654
2200,1058.0,637.0,1.9560305017994206
2283,1071.0,622.0,1.9881057901782118
1257,603.0,375.0,1.160424056660752
1391,660.0,273.0,1.3285837477148612
541,250.0,191.0,0.47934802841929935
1286,680.0,464.0,1.2592812390812163
806,500.0,295.0,0.7111356431023786
681,296.0,358.0,0.6146460279002689
1479,762.0,,1.3574961957690983
1674,879.0,522.0,1.5522019714863309
797,489.0,359.0,0.6033125842810416
538,299.0,278.0,0.3940731085839112
1259,635.0,,1.2694682033399616
979,559.0,431.0,0.8101669020525202
1201,542.0,266.0,1.1444273958202968
1484,733.0,447.0,1.2143173402661809
431,183.0,101.0,0.38865246288635097
787,556.0,749.0,0.8537622329912161
515,271.0,144.0,0.4346716956087106
417,278.0,150.0,0.30968590025921316
1721,780.0,477.0,1.7057176829409177
1302,643.0,332.0,1.2939370776770396
674,414.0,163.0,0.6099682210528742
2049,1148.0,374.0,1.2503993135679472
1118,499.0,401.0,0.9357483068213717
1236,603.0,506.0,1.1864847480744416
910,429.0,213.0,0.7257388549287347
1179,610.0,269.0,1.0965159855573907
1239,637.0,395.0,1.0956117503810932
1277,658.0,462.0,1.2420277308366434
1837,744.0,277.0,1.9881539284865521
754,399.0,254.0,0.6285637630778399
906,430.0,255.0,0.7656436628954695
1582,710.0,252.0,1.7111049965350638
2335,1101.0,541.0,2.2516402574615784
627,369.0,,0.5012519707493646
1595,818.0,520.0,1.2978841870987374
668,405.0,148.0,0.5853542861283548
1118,542.0,339.0,1.1128226061659783
712,322.0,436.0,0.7717986665851682
688,371.0,201.0,0.5844753404256035
2026,998.0,561.0,1.9158531239675176
795,465.0,411.0,0.7070624783723812
1039,439.0,244.0,0.8071602696883452
733,395.0,219.0,0.6749922233121337
1481,722.0,393.0,1.374809843315664
573,301.0,240.0,0.47754154215899575
435,234.0,217.0,0.3682838153152038
1021,585.0,297.0,0.8220557427643674
172,103.0,95.0,0.10424505947650949
626,292.0,105.0,0.6277147206954325
987,584.0,492.0,0.8277120412030985
643,267.0,216.0,0.5912138821885263
1331,603.0,408.0,1.2268966425882322
1292,863.0,465.0,1.1150622659510332
471,215.0,160.0,0.44882872249399386
1144,744.0,396.0,1.1433068498999057
1452,790.0,358.0,1.435951987724657
1663,933.0,412.0,1.7790002860441743
1068,504.0,,0.9397231087811275
1080,553.0,404.0,0.9221348723619001
205,132.0,98.0,0.15122668357645622
2138,1037.0,521.0,2.1145464018707307
1157,599.0,228.0,0.9684431295684424
1504,911.0,390.0,0.908679868794774
1011,586.0,465.0,0.8403302646460017
166,118.0,156.0,0.10446698854330728
2855,1406.0,814.0,2.7508415676063036
1067,547.0,224.0,0.9666993667587394
1690,790.0,512.0,1.3967929000181691
1292,566.0,578.0,1.160663929022333
2128,1031.0,515.0,1.871721832983185
1849,864.0,655.0,1.5522836436458216
2168,1136.0,540.0,2.217930330826014
1198,606.0,410.0,1.0247257337945728
1461,777.0,511.0,1.2208113510637832
2083,1190.0,588.0,2.129247936074187
2470,1234.0,523.0,2.2803078114541835
671,338.0,272.0,0.5391893852921875
624,301.0,,0.5149297677908622
891,470.0,346.0,0.890671780262571
1251,705.0,317.0,1.2203510065521166
1087,579.0,280.0,1.0425905426331354
1348,546.0,480.0,1.1285684816649266
819,398.0,399.0,0.674911049074553
579,322.0,456.0,0.44233386520734735
1726,752.0,356.0,1.6592273380748586
1077,468.0,392.0,0.9328525624550248
528,217.0,260.0,0.48239880760407744
573,376.0,304.0,0.46019260374999654
436,193.0,155.0,0.40635407723679895
2467,1085.0,,2.595430828074035
2092,914.0,527.0,2.046831754941654
1272,528.0,184.0,1.3192376361666527
1059,556.0,292.0,0.9825860698222045
1909,739.0,527.0,1.8439214617726234
1410,794.0,383.0,1.4027473680379152
1144,555.0,327.0,1.0312848849590746
1748,948.0,572.0,1.6334643724480402
854,1104.0,311.0,0.465915911517381
672,355.0,242.0,0.5387197321422784
1584,704.0,380.0,1.7212010794503863
1223,569.0,394.0,1.0621252142338098
759,566.0,256.0,0.6474587116236062
1794,722.0,465.0,1.779346376334235
841,526.0,193.0,0.7133954417785295
1334,634.0,384.0,0.9932942159811943
965,501.0,447.0,0.8071605836654403
2058,1121.0,581.0,2.0687414459305002
1329,609.0,496.0,1.10067142699834
1485,971.0,389.0,1.284769847770672
1997,1006.0,483.0,2.0400416319949026
637,353.0,186.0,0.5378723304449795
924,492.0,370.0,0.7236247079836058
1157,697.0,403.0,0.8388455163345945
1915,949.0,504.0,1.9913522450765369
1294,725.0,569.0,1.2422004224202243
2081,974.0,533.0,1.8540395528140703
822,371.0,128.0,0.6441892452144808
898,488.0,297.0,0.8092599998617419
1856,903.0,538.0,1.684203023544817
838,459.0,257.0,0.7013329926059446
1923,999.0,663.0,1.7458568005466453
1080,548.0,341.0,0.9271938155886379
815,396.0,395.0,0.7204298077020065
1268,599.0,425.0,1.2312825213809302
512,266.0,195.0,0.467308274203914
1385,576.0,331.0,1.1566311663022975
1327,702.0,496.0,1.1933007572212955
1611,776.0,342.0,1.57962143565021
1506,651.0,445.0,1.361493860822061
2016,1089.0,536.0,1.9068552932494143
691,334.0,143.0,0.6241967748203232
2227,1149.0,484.0,2.1080871841821645
1253,727.0,372.0,0.6955174029915265
1983,978.0,509.0,1.7981353498030084
1000,533.0,390.0,0.8521204504195165
1087,541.0,293.0,0.9805534409484193
1010,473.0,339.0,0.8354838247781494
1857,912.0,487.0,1.682654466472176
2650,1553.0,565.0,2.5448978172257624
1689,782.0,,1.602014483040757
590,318.0,137.0,0.5137440266815374
1755,947.0,486.0,1.572909209057784
3110,1494.0,,2.8657479398545447
1856,858.0,378.0,1.760382352925152
1201,593.0,391.0,1.123254234241464
1198,735.0,246.0,1.027191414323495
2970,1479.0,759.0,3.0058586610335545
1232,647.0,461.0,1.1456853766043338
707,365.0,339.0,0.6239733226451335
1734,987.0,432.0,1.4769771879764144
785,605.0,,0.6597085424695308
778,406.0,465.0,0.6331923909105912
1103,550.0,322.0,1.0046337327958939
696,350.0,212.0,0.6738076880403351
779,370.0,238.0,0.3790060663932151
833,428.0,530.0,0.6811102548393472
454,274.0,121.0,0.30589439039975647
2302,1027.0,568.0,1.9402126626268068
1084,549.0,305.0,0.9339403200010012
868,582.0,331.0,0.7985197679964443
803,408.0,362.0,0.6948050040484886
1580,908.0,408.0,1.488622202211362
2500,1245.0,,2.5258141168379167
1077,503.0,450.0,0.9638852870194576
1295,827.0,426.0,1.1354703296728266
387,239.0,469.0,0.2978612428838973
850,397.0,212.0,0.6992252597385905
1095,578.0,415.0,1.1069840351240336
1399,720.0,,1.3588963980104203
989,547.0,297.0,0.9177502182277246
525,294.0,232.0,0.49866173036158296
1784,960.0,538.0,1.5242389579200406
1074,688.0,229.0,0.7707646259080891
417,204.0,69.0,0.3879144121685978
1439,861.0,393.0,1.2193169186894646
1568,778.0,501.0,1.4884772533463966
1725,852.0,411.0,1.6103079364037567
1939,1039.0,526.0,1.895623642888466
2221,1258.0,520.0,2.0523484826163885
678,364.0,,0.5719279428894971
1182,510.0,271.0,1.0086406626332853
256,145.0,387.0,0.2579051162258117
480,424.0,139.0,0.34223744003103346
1755,754.0,537.0,1.5090706620850518
882,481.0,214.0,0.750153890005303
2284,1189.0,622.0,1.9525568748007225
868,507.0,265.0,0.7834931084942428
728,403.0,261.0,0.4919295707911189
1273,795.0,296.0,0.8832019618982798
474,226.0,268.0,0.41606382149166077
562,503.0,123.0,0.28122445891745157
300,190.0,356.0,0.22846580963324464
850,569.0,94.0,0.2830416659809235
1201,539.0,282.0,1.1543788114205864
710,414.0,148.0,0.5580608001503944
1118,423.0,282.0,1.1160915958566293
1073,572.0,375.0,0.5893640208250847
2306,1370.0,606.0,2.286050700358885
1179,686.0,327.0,1.1452900338091305
2531,1263.0,780.0,2.6748205125658515
709,421.0,184.0,0.4404208145126336
2050,1063.0,522.0,2.109665063822353
1090,605.0,272.0,1.010251885143896
972,656.0,462.0,0.9621926488278169
1434,1133.0,468.0,0.9933580896388734
1555,748.0,536.0,1.4586568749693503
1825,760.0,326.0,1.8878011346774222
898,441.0,348.0,0.8407059102425886
863,427.0,498.0,0.7381005962535726
1943,1145.0,,1.9896856109807177
1539,686.0,473.0,1.4648019913767052
890,500.0,,0.7833246674657951
2257,1031.0,636.0,2.139101744143024
2611,1207.0,592.0,2.281353974863563
1381,802.0,,1.256224232994525
1422,801.0,529.0,1.0463941028536508
1471,690.0,473.0,1.3088778010454567
2360,1144.0,430.0,2.1585581944602916
1027,666.0,370.0,0.8851601094185547
1281,923.0,556.0,1.1958121466107756
1629,840.0,466.0,1.5467024202388386
1323,812.0,591.0,1.2464519055229109
1578,895.0,371.0,1.5966741770996604
1230,550.0,370.0,1.1394766630882736
1399,674.0,442.0,1.2021691484789068
718,400.0,224.0,0.5561762223780958
2755,1208.0,702.0,2.6949700420924634
531,303.0,161.0,0.517409551772442
2216,1274.0,723.0,2.232215646385038
1145,596.0,433.0,1.0533552237312156
1544,748.0,383.0,1.179863557177262
1212,626.0,315.0,1.141867054524104
1606,821.0,319.0,1.498870261260733
1111,502.0,384.0,0.9478436442201087
1845,,402.0,1.577885339195435
284,180.0,,0.21340354998558425
1053,729.0,554.0,0.9302129231929879
1678,1001.0,294.0,1.4216188578325144
954,519.0,432.0,0.8787228526261753
1121,622.0,524.0,1.015823138490588
567,763.0,185.0,0.5342200231410295
1244,556.0,368.0,1.0437972691618564
1171,485.0,326.0,0.7436319313094442
2792,1320.0,755.0,2.5897220761446325
2215,999.0,482.0,2.195079840872684
1797,909.0,540.0,1.4940505319812691
2457,1338.0,733.0,2.3726447179248
968,676.0,393.0,0.8470592419127344
266,156.0,195.0,0.16465454178319286
360,170.0,281.0,0.34627083334373665
1368,680.0,,1.3151953495791802
810,407.0,350.0,0.6018894469597046
929,423.0,170.0,0.8773147838748039
2288,1145.0,,2.248000754439882
578,325.0,353.0,0.4653608718992621
649,394.0,288.0,0.45955365084575034
1438,821.0,417.0,1.233773271298463
1018,606.0,315.0,0.9718455710316041
1496,697.0,448.0,1.339529601387695
622,322.0,368.0,0.3997956834143689
704,372.0,458.0,0.6312224028761493
252,195.0,92.0,0.13915604273374105
1202,618.0,473.0,1.0437009738038066
751,439.0,,0.5723822628014916
932,748.0,180.0,0.75904709577559
133,91.0,64.0,0.08518571274592646
2100,1004.0,586.0,1.93836851633923
1096,678.0,355.0,0.8643178693118899
