walk_time,bike_time,car_time,line_distance
,5708.0,1449.0,20.36600284636989
,8970.0,4006.0,26.788480656015555
199.0,55.0,25.0,0.37720835836270733
,5129.0,,12.905912131509618
,6752.0,2100.0,22.480050219503944
6248.0,2159.0,757.0,6.730372744001171
,8461.0,3967.0,27.702421251096283
,12023.0,3738.0,41.87281390484963
3933.0,1293.0,766.0,3.6856641657058806
8656.0,2772.0,601.0,5.145571355149031
,13223.0,,48.65594823009079
,8468.0,2825.0,30.06769674130385
,11224.0,4651.0,35.079374418222265
,6842.0,2382.0,21.728406612580056
,4994.0,2641.0,16.659635969834735
,4660.0,,15.730523229928517
,6376.0,1914.0,22.371810522114238
,9790.0,3114.0,36.64080466720053
,4462.0,2009.0,12.99151692777961
,,,21.420929061355345
,10798.0,2869.0,38.91502575029059
,7839.0,4333.0,28.473956416724192
,4940.0,1644.0,17.73418026810312
,8812.0,2256.0,30.233137432011844
,9383.0,,32.70260536925444
,9656.0,3146.0,35.72828295065551
,12404.0,,40.01727718247905
,12073.0,4332.0,39.220626614959194
,,,30.991225429087265
,11722.0,4812.0,35.68613708543305
,5657.0,1947.0,19.742730133450944
,,,34.66595421386457
,,,46.396161497695324
,13103.0,5398.0,44.374194906073875
,11328.0,,36.64503245576947
,10505.0,3198.0,35.10720529204838
,,,36.01112662017318
,8863.0,,26.286804793197707
,6729.0,,18.921222782397653
,8045.0,2817.0,25.441572330173727
,6322.0,2212.0,19.54302033123334
14047.0,3023.0,1183.0,10.979516091027678
,6937.0,,20.614365498863954
,5905.0,,14.699322673482165
,4662.0,,13.172288332907499
,4229.0,2487.0,12.607569672576538
,8836.0,3170.0,31.00477814273252
,9874.0,2982.0,27.401519787625354
,11606.0,,40.44986219236875
,8973.0,3149.0,33.69433889567923
,10322.0,,33.80862602436377
,,,31.2162824436621
,,,47.823055849962614
,6511.0,2315.0,21.60200698155939
,4394.0,1323.0,16.130803063581826
11849.0,3510.0,,10.99196186095275
,,,56.76988132987794
,5295.0,1122.0,16.957243971438952
,12213.0,3035.0,39.79029670939048
,13129.0,3699.0,42.42715911228845
,11821.0,4933.0,41.20876737263766
,5696.0,,16.943195912172968
,6429.0,2249.0,22.173486250400057
,11063.0,3257.0,35.6632910387304
,8569.0,2488.0,26.66161927139733
,10381.0,4496.0,33.201882059146634
,6505.0,2994.0,17.479565152905753
,11011.0,,38.26529046499973
,8388.0,3031.0,26.23549725485736
,11260.0,4853.0,34.81954583719993
,6103.0,1611.0,17.459068907283687
,12131.0,,43.21719149710908
10882.0,3549.0,2314.0,12.46175785581111
9256.0,2607.0,1298.0,8.719708475153988
,9146.0,3945.0,29.502796777904127
,4626.0,2196.0,15.601849524906855
,4557.0,1494.0,14.691482088989703
,9870.0,4167.0,28.434256657968106
,8555.0,,26.229341848984713
14096.0,3843.0,3624.0,13.113557178446964
,10499.0,,34.09350078713469
,12157.0,,42.566342251046684
,,,48.231820086422076
,6843.0,5696.0,11.810871178750224
12551.0,3649.0,2957.0,9.361062088899908
,,5516.0,55.6947551756463
,7147.0,3221.0,24.15310093288573
,6622.0,2782.0,20.691066729253954
,6789.0,2602.0,24.40874715309565
,7782.0,2605.0,28.21120678592591
,12622.0,4800.0,41.16310436971647
,9075.0,,30.89186100676035
,,,45.701766705691206
,5707.0,,15.716056181193185
,11744.0,2113.0,34.75886881670756
,4535.0,,14.357471786772022
,6357.0,,17.34414995862338
,10520.0,3673.0,32.02300067876144
9564.0,2991.0,1088.0,9.427540067438683
13870.0,3929.0,,12.005490133606626
,7644.0,2086.0,23.976962734967035
,12216.0,,41.485103761790135
,5367.0,1370.0,15.687687118593848
10811.0,3396.0,3562.0,11.376038935225722
,6769.0,1531.0,21.182963564719483
,7681.0,,24.02669654718149
,,,8.52347268013326
,13503.0,,42.00504018704636
,6984.0,3082.0,22.00377757665862
,4558.0,1110.0,14.881122809284815
,4619.0,1648.0,15.318401758184226
,5322.0,,17.030180777652912
,9223.0,,27.58803197167957
,5659.0,1745.0,17.161949510362778
,7846.0,3527.0,24.33741722314345
,5976.0,1687.0,15.828418482125462
,6713.0,3350.0,23.864416085208582
,11095.0,,36.7552753762732
,6480.0,1784.0,20.625746741341583
,8203.0,3372.0,29.423006061214437
13671.0,3873.0,2130.0,11.76567058675054
,12179.0,,39.886273882756825
8921.0,2927.0,,7.961845102774468
6706.0,2098.0,685.0,5.988330527955906
,9426.0,,32.93963926195034
,7151.0,,26.392566851174774
,6118.0,3290.0,17.93279772231309
,8523.0,4114.0,28.342616395165514
,8653.0,4196.0,26.360266648173173
,9180.0,4114.0,29.577069470592615
,4310.0,1753.0,16.043283680270406
,8165.0,,27.132138193183295
,8882.0,2892.0,31.284704232851556
,12410.0,,43.72085485593398
,6571.0,,23.113414812762425
,,,46.534054668766935
8361.0,2748.0,1006.0,9.620091628651375
,11085.0,3780.0,35.95464217966343
13219.0,4381.0,1416.0,13.804133962594872
,4366.0,,13.254899162466506
,4926.0,1859.0,16.59906407382992
,8331.0,,28.007402989119637
,8971.0,4483.0,29.4673370358553
,7434.0,2543.0,25.459254425840523
3608.0,966.0,,2.094540619275877
,6482.0,,21.567197611335367
10168.0,2851.0,1438.0,10.998624529906836
,6898.0,3904.0,25.52981754677465
13583.0,4449.0,1369.0,12.884642457620751
,11397.0,,37.18179587635342
10054.0,2780.0,2303.0,9.039075513544086
,6575.0,3824.0,21.81745417393808
,,,3.838322799907215
,12973.0,5254.0,46.20774859369845
,11154.0,4211.0,37.7754182610411
,7106.0,,26.87832904954957
,,4319.0,45.830423272269805
,11259.0,,40.223176367120445
,7804.0,,20.737622820093904
,8350.0,,28.21188635031226
,13157.0,4500.0,44.42028731180922
,9353.0,3886.0,32.854409535515046
,12233.0,4402.0,42.92137923511921
,12563.0,,37.6760601286819
,,,48.23971235408055
8548.0,2349.0,3291.0,7.759158030148385
,12383.0,,37.6792822837177
9405.0,3247.0,986.0,10.261667861758188
12227.0,3478.0,,12.234537704808083
,6150.0,1813.0,21.161873113066008
,7733.0,2292.0,24.543779303067176
,6953.0,2412.0,19.94342495437036
,10958.0,,34.3280567912356
,5252.0,2576.0,17.444236407380775
,11923.0,,41.24260409924664
,4642.0,1724.0,14.233723330084475
10270.0,2885.0,,7.31250041309448
,11163.0,3990.0,38.19261472848536
,6175.0,2299.0,17.72021908065286
,9821.0,,33.42361000458331
,9937.0,3785.0,30.884249354622124
,9229.0,3288.0,30.532161347432197
,10099.0,2752.0,33.31583915483359
,4578.0,,16.345308796464316
,6356.0,,22.048967004781538
,6499.0,,19.03581263759624
,9144.0,,28.510364308347583
,7192.0,4553.0,21.53751286924994
,9699.0,3937.0,30.734760120630916
,6215.0,2764.0,20.87111304638701
,12142.0,3670.0,41.065223290568824
,11668.0,5011.0,33.596374122208644
,8183.0,1627.0,27.17402965809128
14356.0,4119.0,,14.305072259355192
,5436.0,2171.0,20.24702921019746
,,,53.982591385238656
,5333.0,2195.0,17.16391353997722
,5954.0,2173.0,19.72817470792176
,,,40.2491787300178
,10747.0,,37.084531284760224
,11232.0,2611.0,36.16123549892877
,,,14.097873373795466
,13232.0,5081.0,37.61265397899528
,11828.0,,34.461556915250526
,11868.0,,42.191061382466
,8678.0,2317.0,33.29073902600685
,7359.0,1909.0,21.980483835713166
,6971.0,2892.0,21.96155028982664
,8598.0,4806.0,30.59244435671534
,11838.0,5615.0,38.45669605609577
,4504.0,,16.161779372047377
,6131.0,3113.0,20.915173537798346
,6695.0,2152.0,20.631611808447886
,5562.0,,19.92644431218942
,11293.0,2983.0,33.450801757098645
,10217.0,2267.0,33.347772637357444
,7841.0,3762.0,27.52709829506964
,5820.0,1584.0,18.71905931128954
,6663.0,1859.0,23.269208519591746
,6923.0,3437.0,26.434931215831387
,5319.0,2654.0,15.624645066541099
,7227.0,2431.0,26.78662096194288
,6446.0,,17.344195897075526
10668.0,3131.0,1370.0,11.42495346962144
,5785.0,2493.0,18.840279557025227
,9447.0,3088.0,31.442681297339664
7891.0,2222.0,,7.749464303886055
,8209.0,3307.0,25.63303426628044
,11618.0,3123.0,40.298948501910424
,5454.0,1131.0,17.401673924526985
11570.0,3364.0,863.0,12.679401609048593
,9518.0,,30.47987983828468
,,,51.27203559206345
,9562.0,2740.0,29.26599714799418
,6969.0,,21.71108093808782
,11194.0,,34.24441653390387
,,,25.34725814501406
,12771.0,3494.0,45.55304162206209
,,5358.0,48.169902882661205
,4747.0,1917.0,16.554112720094395
,7891.0,3141.0,27.745077768481703
,11145.0,3469.0,38.910480923844474
,7154.0,3719.0,21.90516363901349
,9686.0,4052.0,33.58265493011383
,11172.0,2247.0,37.16888224285584
,10745.0,2517.0,37.15782819076035
,6056.0,2893.0,17.010944566679
,7847.0,2185.0,26.003245150454163
8340.0,2852.0,749.0,6.201844124704301
,12393.0,,39.72337274405459
,9020.0,7128.0,28.281706195416355
,10982.0,2956.0,37.5959950050091
,9390.0,3828.0,35.055494320029325
,6510.0,1889.0,21.217322750342813
,4386.0,1680.0,15.2241237568577
,5328.0,4262.0,18.73491819083238
,7550.0,,20.796130891291977
,9404.0,,26.86743563687961
5885.0,1918.0,2379.0,5.267601653917661
9945.0,3074.0,1947.0,4.628792936162723
,6722.0,,21.93803420706898
,6851.0,2391.0,24.684317021768738
,5901.0,3821.0,17.11142558485158
7099.0,2037.0,,5.300180553717195
12408.0,3525.0,1666.0,12.358907055214285
,12965.0,3675.0,42.84946977383522
,7587.0,1982.0,25.37742042427934
,,,56.490871610404206
13515.0,4596.0,1293.0,13.430774194376827
,,,45.07651356054359
,7013.0,2023.0,23.057414482265802
,11477.0,4164.0,38.02989297346958
,9075.0,3421.0,29.010850087714836
,10739.0,,39.15002519505689
